Authorname,Comments
Ah yahya,تستاهل كل الخير أكملت الألف لايك مشكور على التعب و الجهد المبذول
أحسان المحسن,اعتقد في الدقيقة 19:15 لم تكن موفق في التعديل... لان كلمة next على نفس الخط ل create account .. بينما انت عملت اللاينمنت مع اطار كلمة   next
mahmoud abo el noor,ربي يحفظك دايما مشكور لجهودك
Fahd Alhalabi,حرفيا انت وصفتني كمبتدئ وربي وحش 😂❤️❤️❤️
Rama Rama,رااائع ❤ الله يحميك 🔥❤
Erhaym Mohamed,كل يوم بستفيد منك اكتر، شكرا بجد
Firas Aldarra,"انت مو بس مدرسة انت جامعة من العلم 
بالمختصر بقلك 
جزاك الله كل الخير والبركة"
Faten Adel,يعطيك العافية ... بانتظار المزيد
butterfly Song & Music,رائع والسلسلة كتير حلوة ومفيدة
NiNjA PRO,يا الله شو درسك  حلو  مفصل
Mahmoud Nassar,يعطيك الف عافيه :-)
Mahmoud Hanafy,كان فينك من زمان يا دكتور طريقه شرحك بسيطه و دسمه بالمعلومات جزاك الله خيرا علي ذالك
Mohamad Abuaasy,"رائع 
شكرا جزيلا"
Fahd Alhalabi,شكرا لك معلومات ذهبية يدفع لها نقود
ABD EL MALEK HUSSEIN,ممكن اعرف اسم التطبيق الي حضرتك بتشغل من عليه
Sahar Alahmad,كل الشكر لك 🌼🌼🌼
shaimaa maged,محتوي أكثر من رااائع
Waad Qassim,"عفوا منك، لكن شركة غوغل عاملة ""next"" كبيرة، لانو في مستخدميين أميين.. بيحفظوا الشكل بالتطبيق اكتر من الكلمات."
imshahd Alright,Amazing 🥺❤️
Mustafa Sabe Alarab,الله بعطيك العافيه 🌹
World Facts,شرح عالمي
Ala’a Mahmoud,روعه شرحك شكرا كتير
Lotfi Almabree,"ممكن pdf عربي ؟
هل هي تخصص لحاله مثلا بدل ما اكون اتخصص بالمصمم الويب بكون بداله حاليا تخصص ui/ux ؟؟ هل صحيح"
Alaa,الله يجزاك خير
EURL EGAI,هذه الي نسميها قناة يوتوب محتوى هادف رائع واصل أخي .
T.A.G TAHA AL GZZAR,ياخي مش عارف اقول لك ايه. انت انسان رائع جدا . استمر يا بطل.
Ahmed 3bd Mahmood,شكرا ❤
MrMoustafaKhederTECH,مشكور ...رائع
تحرير منير,يعطيك الف العافيه
Special Person,19:05 بلعكس. افضل تكون كبيرة لسهولة الوصول
"M""ohamed A""bed",يا جدع عااااش ❤️❤️❤️
Lost in The Meth World,Great content 😯
sajidanada amrat,شكرا للتوضيح
abuferas hamdani,شكرا 😍
حازم القفيدي,عااش جميل استمر
Da vinchi,استمر يا بطل
Mohamad Abuaasy,ممتاز
بيت السعادة,انا بشوفك باكتوبر عام 2021 و بقولك من كل قلبي جزاك الله كل خير و شكرا كتيييييير
PAPA - JO,جميل كتير
ibrahemodel,بارك الله فيبك
iL Padrino,الله يفتح عليك
Alrifai Ammar,"انا مصمم محترف الحمدلله وعجبني شرحك لان وصلت فكره جدا سهلة ومفهومة الفديو طويييل لكن ماحسيت بالوقت عالشرح الجميل ولصحيح
انت وصلت فكرة للناس الي مو عارفين البساطة وع قولتك الي يستخدمون كل الادات وبصراحة انا مو عارف كيف افهمهم 
عاشت ايدك استمر"
زينب محمد,كل الدعم ♥️
Buthina Shwafi,لو سمحت ايش من برنامج تشتغل فيه عشان تظهى هذه المحتوى كارسم وكتابه
R,عندي سوال انا بحضر هاذي الكورسات وبعد ما اتقنها كيف احصل علئ شهاده لاجل اذا اشتغلت مثلا
Amr Khaled,جزاك الله كل خير درس مفيد جدا
Bekkouche Ali,بارك الله فبك
Abdellah Askane,شكرا
حسين الرشيد,ننتظر المزيد
