Authorname,Comments
Planet Joy,"wow I appreciate you guys creating this content so much!! I just started teaching myself UXD for over a week. Today I searched ""how to use Figma 101"" on Youtube and so happy this is the first video I clicked on. Very practical that I don't need to look around but can start to practice now. Please keep up the good work! Thank you!!!!!"
OLAJIRE AMINA,Really enjoyed the step-by-step guide. This is my first time doing anything visual and it was a great experience
yoondani,This a great tutorial for a beginner like me! I really liked how thorough you went with every step. Thank you so much :)
Sonny S.,This has given me so much confidence to get started - amazing tutorial and great tips!
Pheebs,This was soo helpful and has encouraged me to start using Figma. Really smooth and simple tutorial to follow. Thank you
Vita Education,Hi! Great easy to understand content. I have a question though. Let's say you work for a company with a team. What about if you don't have the exact icons you need or you are looking for? Do you design them yourself if skilled enough or is there any team member within the company that can do this graphic design? Thanks!
Katherine Carlson,This is a fantastic resource.  I gave up on another quick start Figma video because I didn't feel like I was accomplishing anything. By the end of the video I feel like I had learned a lot and actually made something (not just random shapes on a page). His method of teaching and use of templets makes very easy to learn by doing.
Feri Zar,"This is amazing, I followed your instructions step by step and I designed an online shop and I am really happy that I managed to design something even though it has a lot of problems. Thank you so much"
Martynas Verbusaitis,"That was amazing thank you, literally just what I needed to boost my confidence in Figma, now practice time :D"
Gigi Rodgers,"Can you make more of these in a video course? You just did the beginners intro to this platform, which was AH-MAZING (thank you! I just spent 1/2 day trying to learn from Skillshare classes, and those were a toss 😒)!! And the courses could be for a landing page, websites, and more! The way you explained how a newbie can dive right in - perfection. I want M-O-R-E!"
Nico Chan,This is great! Easy to follow and awesome tips ⭐️
daniel ochei,"One of the best videos I have watched on getting started as a beginner, now it’s time to practice and replicate more figma designs, thank you!"
Basma Kamal,"Thank you so much Amr!!! how can we see more of Amr's work and instruction video's!!! he explains it very nicely and respect the time of the viewer without mocking or being sarcastic at the viewer, Amr truly inspired me to start my learning process just few days ago. please we need more of Amr video's."
Din Vin,Oh my goooood! You guys from AJ&Smart are so good at explaining everything. Thank you guys for providing us with such great content. It’s not just the content. The way you explain things gets all my attention. Thanks again 🥰
Bart Christner,"Very clear, concise, enjoyable, informative, and well presented (video headshot and examples) ! Thanks!!"
Random Registrations,"Probably the best tutorial on any subject I've watched.  Great system for learning, great walkthrough, and great resources.  Subscribed!

Do you mind me asking what your production tools were for the video itself?  What did you use for screen capture and editing?

Nice work and very helpful.  Thank you!"
M Thompson,Love it! Thank you for the quick and easy tutorial.
Alice Vercelli,Thanks for your super clear explanation!I'm entering the ux/ui world after a five-months training course. I find your advice on copying other designs very helpful for beginners like me!So far I've used Adobe XD and Sketch...What do you think of them?(Love your channel ❤️)
Olatomide Awoyomi,"Thanks so much, you just saved tons of hours, I'm already a skilled graphic designer so this transition/explore has been made easy.

Cheers to AJ&Smart"
David Williamson,"Amazing video. Was very demotivated at the start. This video helps me understand the possibilities for this. Thank you so much, AJ!"
Jeremy Leroux,This was great and starting by redoing templates then other sites is a great way to learn the tool. The most useful tutorial I found on Figma. Thank you.
Greta Zunino,"Clear and straight to the point, thank you! :)"
Ms Ronx,I cannot thank you enough for this! Your tutorial helped immensely 👌🏿
Olha Kulikova,Gorgeous points for beginners!!!! Thanks for your help ❤️
Weird Tyler,"This is my first try on design ever, this has been really helpful to me. Thank you"
RasputinWatchSite,Superb demo and seems very easy to understand how it works. Awesome!
dhanu shya,Such a good video to learn and experiment. This is exactly how we learn by doing. Thank you and please make more contents like this.
Ruth Nwofor,This was amazing. I watched other videos that confused the hell out of me but this one really helped a lot and I feel a lot more confident now. Thank you!!
Danny R,Brilliant tutorial! Very easy to follow and understand. Thanks so much for the upload!
MJ Brown's VLOG,"Hi, I'm new to your channel and I'm an IT student and still confuse about my career, and I want to be a Web designer until I saw your portfolio now I'm more interested in designing and study coding as well, thank you so much for this, I've been watching so many videos and this is one of the best that I see. New subscriber and more videos to come, thanks for teaching us <3"
fakeye kunle,I really appreciate how you explain and make it so easy… I definitely would recommend your channel to others
Monika,"This is so far THE BEST tutorial on how to start with and how Figma works. Kudos to you, guys!!!"
Aleia Kim,"Thank you! Loved this approach to instruction - you gave such a clear, easy-to-follow, and strategic breakdown! :D Much appreciated."
Bre Franco,"I'm used to designing in Adobe programs, and I feel like Figma is really intuitive to pick up if you're familiar with these programs. I'm really enjoying this introduction so far!"
Chinie Sumampong,"I came to the right video, thank you! It was very well explained. I am a Graphic Designer and what I usually use is Photoshop. I'll try to use Figma soon, you explained it so eassyy ✨"
Anthony Bailleux,Amazing tutorial! Thank you so much. I have been watching so many. Unfortunately they are never really beginner friendly unlike how they advertised. Thank you again. Your tutorial is lafe saver :)))
Malinee Saechee,"By far, this is an awesome tutorial for beginners. Thank you!"
Chun-Wah Chung,It's my first time with Figma. This tutorial was super wonderful! Thank you thank you 🔥
Pelar Bass,Thank you! This was very informative and easy to follow! I just heard of Figma yesterday and wanted to learn how to use it and this was the perfect introduction!
Ashley James Music,"This is such a great video! Been binging your content - what can I say, I’m hooked!

Just curious; when creating a title to replicate the existing one “non-contact deliveries” why didn’t you just hold option and drag it to duplicate the content?"
Tufan,Very simple and informative for beginners. Thanks for content.
Matthew Pazaryna,I've been struggling to find the Figma starting point that works for me.  This was clear and very helpful.  Thank you!
Sugawara's wife,So interesting. I used the food delivery layout too! It's displaying a laptop webpage so I just made a mobile layout similar to the one in this vid! It looks like I'll explore for a while. 😄
Anja S.,"Thanks, that was very helpful and easy to understand :) Which video would you recommend to see next? I already designed a few prototypes for a university project using Figma and it is quite user friendly and easy to find images, icons and copy existing interfaces."
Alexander Stephen,"To individually round, a specific corner just hold ALT (PC) and round the desired corner only. Much better and faster."
Carlos Camargo,"Gostei muito!!! Grato, aprendi bastante!!!"
Ian Harrington,"Thank you for this, it was fantastic. I have a contract starting in two days, and the client uses Figma, which I never have before. I was pretty sure it would be similar to Sketch, and I'd therefore be fine, but I needed to be sure. Alas, it's way closer than I ever imagined it would be. Your tutorial gave me confidence to know I'll be able to hit the ground running."
Bahar Tahani,"Highly recommended, explained step by step, so clear and understandable."
Enjoy Maths,"Thank you very much. Great tutorial! 
I have a question. I hope it is not a stupid question: how one can use the designed frames in a real project? Do I have to make all steps with css? I know Figma gives the css code. But is there a way to export the design into a web project? In general: what is the next step when I finished all the design?"
Deep Shah,"This is actually great technique to learn any tool, I've learned XD using this technique with just a minor difference , I have placed reference Frame under the new Frame & reduce opacity of newer Frame to place each element at exact same spot."
sasidharan chandrasekaran,"Had an interest and was not sure whether to start with UI Designing, You have made me decide. Awesome teaching skills....Please continue the same🔥. Thank you!"
Srileena Samaddar Saxena,Thank You so much! Softwares have always been a scary thing to me. The way you explained the basics of figma made it really easy. Thanks once again!!!
Matthew Tang,"Thank you AJ&Smart, this makes our digital marketers much more easier to get started with Web Design elements!"
Elisa Coccia,"thank you for this super good tutorial! One question: what should I use (from PC) to verify the distance between two elements? You say ""hold options"" but I have no clue about what it means"
Jennifer Argüello,"🚀 After failing to complete a few online courses on figma, I can see why this shorter form tutorial works for me. Thanks for such an amazing tutorial  that left me feeling like I learned a ton."
Rebecca Ade,"I found this extra helpful, like the way you went straight and this increased my enthusiasm to keep learning design. Thanks AJ"
Marcel Chastain,Exactly the advice and setup I needed to get started! 🙏🏽
Aleksandra Popov,Thank you so much for this super-easy-to-follow tutorial. I am having so much fun!!
Chimaobi Onyeagba,This was so helpful...thanks so much sir. my first time using figma and i was able to design well.🥺 NIVCE JOB!❤️
Osezua Ojeaga,"Just getting started with Figma and I must say this is the most helpful tutorial I've come across, really appreciate the time spent on making this. Thank you!!"
AUGUSTINE VICTOR,Best tutorial have seen so far on figma. Easy to understand and follow along.
Zupyta,"Thanks! This was really helpful :) switching from XD and I feel like this is much better and especially with this great explanation, I have a better view on it!"
fave emobena,Best UI/UX tutorial for beginners I have come across. Thank you ❤️
MDesign,"Such an excellent and beneficial video, so clear and concise. Thank you!"
Charli Chen,"Hey, thanks for such a straightforward and informative video!"
Koryteller,Thank you! This was exactly what I was looking for. A lot of other videos gloss way too quickly over getting started.
Hack University,"Great video, very useful especially to those who want to jump in the field! :)"
pronouncewithree,"Thank you so muchhhh
I literally made my first design today and it's because of you😀
I'm really happy about that cos i've never designed a thing in my life....didn't know there was such a thing as Figma until awhile ago

and I literally just designed something😭😭😭"
James Hurliman,"As far as ""learning things from YouTube"" goes, this is like peak achievement here; you're an absolute legend man"
Fiona Keith,"this made figma much less intimidating for me, thank you SO MUCH! it was so exciting to even copy something on my own and have a result!"
bobcato,"Hi, thanks for the video - what apps/plug-ins did you use to capture the screen, and add your talking head as a circle?  What camera did you use? Links to gear and apps would be very helpful. Thanks."
Klax 6ix,"Hello! Your video is very educating and easier to grasp a novice, thanks for explaining in simpler terms. As a newbie in the world of UI, how do I go about creating a design that will fit all phone screen ratio? Cause am wondering one don't have to he clicking on a specific phone model all the time."
product_of_grace,Great tutorial for a beginner.Loved it!!!!
Shumail Malik,"absolutely perfect tutorial, thanks AJ"
Radhika Kulkarni,What a wonderful tutorial! Thank you for this!!
