Authorname,Comments
Pejman MGH,Hi Mosh. Thank you for your great lessons! Could you please introduce to me a source that I can ask my python questions? Thanks.
Yasmine Kordjazy,This is great and easy to follow! thanks so much 🙂
Haneen,"I would really appreciate it if you could explain object oriented programming using real life examples where it could be implemented as most people explain it using analogies like ""a class is car and it's attributes are fuel"" or using an over simplified example. Thanks for making programming education more accessible!"
Obi Wan Kenobi,"Thank you very much Mosh. I  just started an education as a programmer and i had no idea about docker. But your explanations of the functions itself, and ur tutorial of actually using it was just great"
Lorand Mihaly,You're literally the only person on the internet that can explain anything so that others understand it. Thank you!
𝙇𝙊𝙀𝙃𝘾𝙍𝘼𝘾𝙆  ON INSTAGRAM,I CAN'T IMAGINE LIFE WITHOUT THIS DUDE HE'S THE GREATEST GUY IN THE WORLD 🌎 I REALLY APPRECIATE HIS GOOD WORK.
𝙇𝙊𝙀𝙃𝘾𝙍𝘼𝘾𝙆  ON INSTAGRAM,I CAN'T IMAGINE LIFE WITHOUT THIS DUDE HE'S THE GREATEST GUY IN THE WORLD 🌎 I REALLY APPRECIATE HIS GOOD WORK.
TheTrinch,"Woah! I was literally looking for a Docker and Kubernetes tutorial, and I love your courses, so this comes in handy, I'll take a look at the complete course too"
Mr KONE Djakarya Tiécoura,Your video is 100% well explained!! It helps a lot thanks a million. I am a sysops and it helps me improving more
Rajathraj Rao,"Hello Mosh,

This is indeed a great tutorial, The way you explained things, samples are really good. Thanks for this video."
Inbox 📨 loehcrack on Instagram,"Really appreciate, this Incredible useful and digestible content You’re ☝️making an impact and you deserve the reward Keep It up."
Inbox 📨 loehcrack on Instagram,"Really appreciate, this Incredible useful and digestible content You’re ☝️making an impact and you deserve the reward Keep It up."
AB,Your style of teaching is amazing; learned a lot from you . Thank you so much.
Anindha Parthy,I really enjoyed the video - thanks! What did you use to make the animations?
Pietro,Very informative content! Good to learn as a linux & docker beginner! thx!
John Jacob Jingleheimer Schmidt,Learnt like 80% of everything know when it comes to programming from Mosh back in 2017. I now work for a big bank. You really helped me out bro.
AERO ACEE03,Hey mosh! I'm a big fan of yours..I've learned a lot on coding in your video..Thank you so much for sharing us wht u know..it helps me alots as an new it studnt..I hope u'll never get tired in teaching and sharing what you knowss...again thank you moshh🥰❤️
Learn Chinese Mandarin,"Mosh is just so good at teaching! If I am looking for a subject and I find Mosh has a video for it, I will watch Mosh's video first."
Joshua Alabre,"Hey man nice course. I'm having trouble with  the Docker in action section. For some reason I created the app.js file and Docekrfile, but  it keeps saying cannot find module /app.js. I did it exactly in the video, but I still keep getting that error. I also looked on stack overflow and found nothing."
Ibraheem El Ansari,Docker is reaally important when you're working in a team ! Perfect timing .. Thanks a lot
Arpit Agarwal,"Hi Mosh, thanks for making such a great courses. It would be great if you make Spring and Hibernate course."
Malko Gindrat,Oh my...I started this tutorial just for fun...I'm already at 10 minutes and can't stop! Now I will stay until the end! Thanks for this great tutorial.
Lynn & Lee Talks,I can't believe that this was free....such an amazing tutorial!
INAM U Khan,"Thank you for such educational videos. Your videos were very helpful when i started my career as a Full Stack developer and they are still helping me learn many new things whenever i watched a new video of yours. You are an amazing teacher. Thank you very much.
I just want to know if you are planning to make a Crash course on Rust."
Mandolin Sashaank,Finally! Mosh you don't know how long I have been waiting for this. Thank you so much for this! It really means a lot to me! Thank you 🙏🙏
NotAkshit823,"I study in class 8th, my dream is to become a software engineer, Im able to learn coding languages easily from your channel, you are so helpful, even better than paid courses on the internet"
Roberto Vásquez,"Hey mosh! loved the video! short and straight to the point! 
I am curious as to why there was a whole section at the end dedicated to linux file system haha either way new subscriber here :) thanks!"
Stefan Busch,"Hello Mosh, thanks for these well presented infos. I have one question though: What ist the ""cut down OS"" mentioned at https://youtu.be/pTFZFxd4hOI?t=966 ? I thought I had understood from the preceeding part of your video that a container does *not* include its own OS. Clarification would be appreciated. Thanks!"
Sandeep Kumar,"Guys, Please don't skip the ads, He is making it so easy for us. Thank you Mosh"
Sarimm Chaudhry,"Hi mosh you are one of my most favorite programming teachers and have taught me a lot, what editing software do you use for all those cool animations and graphics"
Sourav Ghosh,"Hi Mosh,
I follow your courses from python to JavaScript to docker. I really like the way you structured them and  the contents too. Do you have plans for Kubernetes too ?"
Shawn Chap,Best thing for docker and Ubuntu starters! Thanks a lot!
Oybek Toshmatov,"Hello Mosh, I have been learning several tutorials from your Online courses on your website platform. You have cool explaining/teaching skills! Your courses are quite easy to grasp!"
Siddharth Subramanian,"Just the right course I needed! Thanks, Mosh! Just curious what zsh theme you're using there. Looks pretty cool"
Dr. Seyed Mohammad Mostafavi Kashani,"Brilliant work! Mosh, you are smart teacher i.e. reallly good at putting your feet into the shoes of your audience and guiding them!"
Krishna Agarwal,"Thank you Mosh for providing such a great tutorial for free, I want to get all the complete courses you have as you have explained them all in a great possible manner, would it be possible to add debit card option as a payment method for the courses that would be much easier for students like me to buy them."
LOEHCRACK RECOMMEND ON INSTAGRAM ,"I cannot thank you enough! My dad passed away and we’ve been unable to Access our family PC for the past 2-3 years. He took the password with him, we tried countless password and nothing! I tried your method and it’s worked! You have no idea how happy I’m! A million thank you.☝️"
Umutambyi Gad,"Mosh you're really my savior, I have been planed to learn it but didn't know where to start but now I hope it's going be clear"
LOEHCRACK RECOMMEND ON INSTAGRAM ,"I cannot thank you enough! My dad passed away and we’ve been unable to Access our family PC for the past 2-3 years. He took the password with him, we tried countless password and nothing! I tried your method and it’s worked! You have no idea how happy I’m! A million thank you.☝️"
WhiteChocolateMocha,"Best intro, ur visuals are cool and you kept things very simple, which is a great starting point. Thanks!"
Pythonpro freak,"Thank you for this video! I was setting servers on multi VMs and two raspberry pi boards but after seeing this, I can simply run everything on a single raspberry pi 4. I don't even need to set them up as a cluster."
shafiq dev,"Always love to watch Mosh trainings and learn new things even though if I know the topic already.

Mosh you're great software engineer and fantastic teacher."
Umut,"This tutorial is more about Linux basics than Docker, still good though."
Ganesh Babu,"It's only through Mosh's, I've understood that software development can be learnt effectively through proper video tutorials"
Ronak Patel,"Hi Mosh,

How big in size can Docker containers get? Are there any prerequisites for this?"
29 Naman Kumar,"The 3 dislikes are given by the people who structure coding courses with the motive of making money, not to educate others! Mosh is the #TopProgrammingGuru"
{ CS Projects },"I just got hired as full stack engineer.
I was struggling with docker 
after viewing this video , I will signup for this amazing 5h courses and learn more and then apply that knowledge at my work"
mary ma,This is truly insane to make such a complicate content much more comprehensible in 60 minutes
Janakiram Petluru,"Thanks for these videos sir :)
sir why can""t you give us a one full free course in your school site
we love your explanation so much...
please try to do this and give Python full course"
Yanike Mann,Incredible tutorial! Learned a lot :)
The Hassaan Atif,The timing of the release of this course is perfect (referring to the Suez Canal incident).
Joker57,Thanks a lot Mosh...you are a great teacher. Any plan on spring boot framework course?
Cristian Guamán,Thanks Mosh. I am considering enrolling in your course. I've known Linux since my 22 years and It will be great!.
Knowledge Resource,"For a more detailed understanding, you can watch the video in the link given below, which illustrates the fundamental concepts around containerization along with Linux containers, docker, and Kubernetes. #lxd #lxc #docker #kubernetes
https://www.youtube.com/watch?v=TlqD6UXdPHM&t=2531s"
Donald Duck,"Dang bruh, noice, I dig your style of releasing full length course for free like this. Kudos to ya. 👏"
Anurag Arwalkar,Thank You!!! Mosh For this Amazing Course On Docker Love Your All Courses 🔥
Jigar Patel,Hello Mosh! Great video. Will you be covering DevOps in the future? Thank you!
Sagrika,"Saved me..Thank you Mosh...Had watched couple of videos and tutorials before but I can say, now I am clear & got what actually docker does
Love from India..."
Vinod Tiwari,The legend  is back with another nice course
samuel iruedo,"Hi mosh! I love the simplicity on this course you made it simple...you are indeed a great guy! Please could you do a course on Jenkins pipeline?

Thank you"
Randolph Gamo,"learning is good, but its best when you have a wonderful teacher. Mosh, you are a wonderful teacher"
Raghavan alias Saravanan M,"Great. A nice convincing demo was running the docker image on docker-lab where it did not have anything at first, except the Linux OS and the docker runtime. Thank you."
Yabombom,thanks morsh for the kindness and the time you invest to help us learn. Can you help us make a course about quasar framework?
KodiLearn,Please make Flutter and Django course after this.
David Cueter,"As soon I find you have this course I stop the searching for another one, I had made your courses before and are very easy to understand. Thanks!"
Sk Shahnawaz-ul Haque,Very good tutorial. Was struggling with docker earlier. You have made a well explained course. Thanks Mosh.
Vito Azzollini,"Hi, this is a great video! would you mind letting me know how to make my console/terminal look like yours? with the directory highlighted in blue and all?"
Planet of Live Games,You are the great tutor I have ever seen. Thanks to you.
Bash Bukari,My hero is back with an amazing course
David Bijttebier,"Great video but except for the fact it is running in a docker container I've only seen Linux stuff. (which is very much appreciated as well, some great tips in this video) 
However I understand you want to promote the complete course but maybe a little more insight in Dockerfile's, images and composing them would be cool."
